borrower_id,income_trend_score,balance_trend_score,payment_consistency_score,expense_pressure_score,income_volatility_score,loan_health_score,risk_bucket
B0087,43.83,36.37,83.0,100.0,69.11,60.75,Yellow
B0088,45.75,34.95,83.0,100.0,70.22,61.08,Yellow
B0089,48.7,37.8,83.0,100.0,77.41,63.4,Yellow
B0090,45.64,39.99,83.0,100.0,72.57,62.55,Yellow
B0091,45.3,35.39,83.0,100.0,74.34,61.47,Yellow
B0092,47.1,40.81,83.0,100.0,72.54,63.19,Yellow
B0093,49.7,37.51,83.0,100.0,74.06,63.29,Yellow
B0094,46.47,39.79,83.0,100.0,75.31,63.02,Yellow
B0095,46.03,32.16,83.0,100.0,73.92,60.84,Yellow
B0096,44.32,36.46,83.0,100.0,69.72,60.98,Yellow
B0097,47.03,37.59,83.0,100.0,70.2,62.13,Yellow
B0098,46.59,39.8,83.0,100.0,73.78,62.9,Yellow
B0099,51.49,38.47,83.0,100.0,81.07,64.77,Yellow
B0100,48.98,35.46,83.0,100.0,75.97,62.76,Yellow
B0101,45.77,37.06,83.0,100.0,70.36,61.63,Yellow
B0102,45.63,39.97,83.0,100.0,74.15,62.7,Yellow
B0103,42.45,34.13,83.0,100.0,65.25,59.39,Yellow
B0104,45.55,36.68,83.0,100.0,68.77,61.31,Yellow
B0105,50.54,36.57,83.0,100.0,79.6,63.86,Yellow
B0106,47.82,38.18,83.0,100.0,78.26,63.32,Yellow
B0107,51.56,40.3,83.0,100.0,76.1,64.75,Yellow
B0108,44.7,38.28,83.0,100.0,69.02,61.48,Yellow
B0109,44.78,40.64,83.0,100.0,70.25,62.22,Yellow
B0110,45.61,36.31,83.0,100.0,73.76,61.74,Yellow
B0111,46.84,40.52,83.0,100.0,70.57,62.84,Yellow
B0112,49.56,41.78,83.0,100.0,78.44,64.76,Yellow
B0113,48.27,36.8,83.0,100.0,74.98,62.78,Yellow
B0114,48.21,34.44,83.0,100.0,77.0,62.37,Yellow
B0115,46.52,35.3,83.0,100.0,71.47,61.53,Yellow
B0116,54.01,37.27,83.0,100.0,80.51,65.17,Yellow
B0117,48.1,39.35,83.0,100.0,74.42,63.31,Yellow
B0118,49.39,37.68,83.0,100.0,74.0,63.24,Yellow
B0119,48.69,40.85,83.0,100.0,73.12,63.73,Yellow
B0120,43.65,38.28,83.0,100.0,70.92,61.36,Yellow
B0121,46.79,39.61,83.0,100.0,72.36,62.78,Yellow
B0122,53.09,34.86,83.0,100.0,79.6,64.2,Yellow
B0123,43.62,36.11,83.0,100.0,70.64,60.78,Yellow
B0124,47.41,44.15,83.0,100.0,76.64,64.52,Yellow
B0125,46.83,40.39,83.0,100.0,70.13,62.76,Yellow
B0126,45.99,40.22,83.0,100.0,74.15,62.87,Yellow
B0127,48.34,40.62,83.0,100.0,76.18,63.88,Yellow
B0128,49.84,38.06,83.0,100.0,74.98,63.56,Yellow
B0129,50.36,40.71,83.0,100.0,80.5,64.94,Yellow
B0130,44.88,37.57,83.0,100.0,69.16,61.37,Yellow
B0131,44.83,41.23,83.0,100.0,68.9,62.25,Yellow
B0132,54.2,38.51,83.0,100.0,80.29,65.52,Yellow
B0133,47.42,38.68,83.0,100.0,74.77,62.97,Yellow
B0134,44.88,37.47,83.0,100.0,69.64,61.4,Yellow
B0135,49.63,37.93,83.0,100.0,79.97,63.97,Yellow
B0136,50.21,36.06,83.0,100.0,79.29,63.61,Yellow
B0137,47.77,36.91,83.0,100.0,76.9,62.85,Yellow
B0138,46.58,40.48,83.0,100.0,76.92,63.39,Yellow
B0139,48.75,35.69,83.0,100.0,74.69,62.62,Yellow
B0140,45.96,35.94,83.0,100.0,72.84,61.66,Yellow
B0141,51.74,36.36,83.0,100.0,83.98,64.61,Yellow
B0142,53.56,39.78,83.0,100.0,83.58,65.97,Yellow
B0143,46.58,38.99,83.0,100.0,77.17,63.04,Yellow
B0144,45.83,42.93,83.0,100.0,77.2,63.8,Yellow
B0145,45.42,39.35,83.0,100.0,71.42,62.21,Yellow
B0146,47.68,39.45,83.0,100.0,77.49,63.52,Yellow
B0147,45.21,35.06,83.0,100.0,74.68,61.4,Yellow
B0148,49.92,35.38,83.0,100.0,81.5,63.57,Yellow
B0149,49.35,35.28,83.0,100.0,75.13,62.74,Yellow
B0150,48.62,37.33,83.0,100.0,75.67,63.09,Yellow
B0151,49.96,38.48,83.0,100.0,77.42,63.95,Yellow
B0152,46.2,38.6,83.0,100.0,70.99,62.21,Yellow
B0153,47.52,34.73,83.0,100.0,79.11,62.45,Yellow
B0154,46.13,35.74,83.0,100.0,69.28,61.3,Yellow
B0155,46.76,41.04,83.0,100.0,73.36,63.22,Yellow
B0156,51.88,35.88,83.0,100.0,81.57,64.29,Yellow
B0157,50.37,38.23,83.0,100.0,81.66,64.43,Yellow
B0158,48.03,38.96,83.0,100.0,73.93,63.14,Yellow
B0159,51.06,39.21,83.0,100.0,78.3,64.55,Yellow
B0160,48.22,40.23,83.0,100.0,75.43,63.67,Yellow
B0161,49.76,35.11,83.0,100.0,77.48,63.05,Yellow
B0162,45.29,39.77,83.0,100.0,73.18,62.45,Yellow
B0163,44.29,36.37,83.0,100.0,72.91,61.27,Yellow
B0164,50.27,33.92,83.0,100.0,76.25,62.79,Yellow
B0165,49.08,40.92,83.0,100.0,73.7,63.92,Yellow
B0166,49.73,41.38,83.0,100.0,76.71,64.54,Yellow
B0167,49.09,37.0,83.0,100.0,79.57,63.53,Yellow
B0168,50.44,42.14,83.0,100.0,81.85,65.45,Yellow
B0169,48.6,41.91,83.0,100.0,74.77,64.13,Yellow
B0170,48.42,36.99,83.0,100.0,75.42,62.92,Yellow
B0171,43.76,42.49,83.0,100.0,73.23,62.67,Yellow
B0172,44.15,36.16,83.0,100.0,72.13,61.1,Yellow
B0173,54.44,40.38,83.0,100.0,83.55,66.38,Yellow
B0174,48.99,39.02,83.0,100.0,77.04,63.76,Yellow
B0175,50.92,41.74,83.0,100.0,76.91,65.0,Yellow
B0176,47.79,37.99,83.0,100.0,72.64,62.7,Yellow
B0177,52.58,38.0,83.0,100.0,81.11,64.98,Yellow
B0178,50.94,39.78,83.0,100.0,80.36,64.86,Yellow
B0179,47.47,40.39,83.0,100.0,72.98,63.24,Yellow
B0180,46.38,39.22,83.0,100.0,74.11,62.73,Yellow
B0181,49.13,41.46,83.0,100.0,75.94,64.3,Yellow
B0182,47.55,39.47,83.0,100.0,73.24,63.06,Yellow
B0183,42.68,38.75,83.0,100.0,68.46,60.94,Yellow
B0184,46.36,40.09,83.0,100.0,74.34,62.96,Yellow
B0185,54.15,41.94,83.0,100.0,82.06,66.54,Yellow
B0186,48.88,40.42,83.0,100.0,75.21,63.89,Yellow
B0187,52.09,36.54,83.0,100.0,83.27,64.69,Yellow
B0188,50.18,34.52,83.0,100.0,79.29,63.21,Yellow
B0189,45.07,37.04,83.0,100.0,68.98,61.28,Yellow
B0190,51.03,37.0,83.0,100.0,79.3,64.09,Yellow
B0191,44.98,36.87,83.0,100.0,72.89,61.6,Yellow
B0192,50.47,43.03,83.0,100.0,80.23,65.52,Yellow
B0193,45.25,38.3,83.0,100.0,72.46,62.0,Yellow
B0194,48.21,43.71,83.0,100.0,78.72,64.86,Yellow
B0195,49.88,38.81,83.0,100.0,79.14,64.18,Yellow
B0196,47.65,40.8,83.0,100.0,71.83,63.28,Yellow
B0197,52.24,37.11,83.0,100.0,75.35,64.08,Yellow
B0198,50.33,37.05,83.0,100.0,76.93,63.65,Yellow
B0199,48.2,39.45,83.0,100.0,76.57,63.58,Yellow
B0200,49.47,38.51,83.0,100.0,77.76,63.84,Yellow
B0201,47.92,36.9,83.0,100.0,79.31,63.13,Yellow
B0202,48.67,45.24,83.0,100.0,76.61,65.17,Yellow
B0203,51.33,34.28,83.0,100.0,79.22,63.49,Yellow
B0204,53.82,39.83,83.0,100.0,83.47,66.05,Yellow
B0205,45.86,34.33,83.0,100.0,73.68,61.31,Yellow
B0206,50.03,40.98,83.0,100.0,80.53,64.91,Yellow
B0207,48.72,43.23,83.0,100.0,75.83,64.61,Yellow
B0208,50.91,44.82,83.0,100.0,81.11,66.19,Yellow
B0209,53.66,35.29,83.0,100.0,83.99,64.92,Yellow
B0210,48.14,42.78,83.0,100.0,75.18,64.26,Yellow
B0211,48.92,37.28,83.0,100.0,76.81,63.28,Yellow
B0212,47.64,40.13,83.0,100.0,79.04,63.83,Yellow
B0213,48.63,37.09,83.0,100.0,78.47,63.31,Yellow
B0214,54.89,39.93,83.0,100.0,83.46,66.4,Yellow
B0215,47.37,40.17,83.0,100.0,75.47,63.4,Yellow
B0216,52.61,39.03,83.0,100.0,80.72,65.21,Yellow
B0217,48.47,37.66,83.0,100.0,80.41,63.6,Yellow
B0218,50.02,37.29,83.0,100.0,79.85,63.91,Yellow
B0219,57.39,42.91,83.0,100.0,83.3,67.87,Yellow
B0220,50.12,43.25,83.0,100.0,80.13,65.46,Yellow
B0221,52.6,40.89,83.0,100.0,80.52,65.65,Yellow
B0222,47.46,37.5,83.0,100.0,76.21,62.83,Yellow
B0223,48.73,42.63,83.0,100.0,76.65,64.54,Yellow
B0224,45.56,35.52,83.0,100.0,74.45,61.59,Yellow
B0225,45.61,43.29,83.0,100.0,73.67,63.47,Yellow
B0226,48.35,37.39,83.0,100.0,77.2,63.17,Yellow
B0227,51.92,38.11,83.0,100.0,80.76,64.78,Yellow
B0228,49.17,36.62,83.0,100.0,76.62,63.17,Yellow
B0229,50.71,40.63,83.0,100.0,79.39,64.91,Yellow
B0230,59.49,39.51,83.0,100.0,84.56,67.78,Yellow
B0231,48.65,39.55,83.0,100.0,76.09,63.69,Yellow
B0232,43.98,36.87,83.0,100.0,70.54,61.07,Yellow
B0233,47.77,40.04,83.0,100.0,78.72,63.81,Yellow
B0234,46.73,41.81,83.0,100.0,75.74,63.65,Yellow
B0235,48.91,42.21,83.0,100.0,78.56,64.68,Yellow
B0236,55.4,41.01,83.0,100.0,84.4,66.91,Yellow
B0237,58.46,39.64,83.0,100.0,84.78,67.53,Yellow
B0238,46.95,38.13,83.0,100.0,75.06,62.72,Yellow
B0239,50.45,40.91,83.0,100.0,78.58,64.82,Yellow
B0240,47.92,39.0,83.0,100.0,76.62,63.39,Yellow
B0241,48.38,41.19,83.0,100.0,75.0,63.91,Yellow
B0242,56.45,42.24,83.0,100.0,81.89,67.28,Yellow
B0243,52.72,39.04,83.0,100.0,81.17,65.29,Yellow
B0244,49.59,41.54,83.0,100.0,80.21,64.88,Yellow
B0245,46.17,42.05,83.0,100.0,73.23,63.29,Yellow
B0246,47.14,41.75,83.0,100.0,74.56,63.64,Yellow
B0247,57.05,43.68,83.0,100.0,86.74,68.31,Yellow
B0248,45.93,38.89,83.0,100.0,73.12,62.41,Yellow
B0249,49.04,38.86,83.0,100.0,77.68,63.8,Yellow
B0250,54.61,41.4,83.0,100.0,80.91,66.42,Yellow
B0251,52.09,45.64,83.0,100.0,84.17,67.05,Yellow
B0252,53.38,37.69,83.0,100.0,80.46,65.08,Yellow
B0253,48.38,43.2,83.0,100.0,76.22,64.54,Yellow
B0254,49.53,36.59,83.0,100.0,76.68,63.27,Yellow
B0255,45.97,39.82,83.0,100.0,76.64,63.01,Yellow
B0256,53.28,42.56,83.0,100.0,83.54,66.58,Yellow
B0257,54.16,37.81,83.0,100.0,83.46,65.65,Yellow
B0258,49.83,39.7,83.0,100.0,76.28,64.1,Yellow
B0259,51.27,39.67,83.0,100.0,82.06,65.1,Yellow
B0260,60.27,38.39,83.0,100.0,86.75,67.95,Yellow
B0261,55.71,40.35,83.0,100.0,83.46,66.75,Yellow
B0262,50.48,36.61,83.0,100.0,76.13,63.51,Yellow
B0263,51.71,40.69,83.0,100.0,80.92,65.38,Yellow
B0264,52.33,41.84,83.0,100.0,83.55,66.11,Yellow
B0265,44.75,37.92,83.0,100.0,70.99,61.6,Yellow
B0266,51.76,41.85,83.0,100.0,75.48,65.14,Yellow
B0267,49.55,41.46,83.0,100.0,81.52,64.98,Yellow
B0268,45.86,37.79,83.0,100.0,73.81,62.19,Yellow
B0269,50.61,40.9,83.0,100.0,80.34,65.04,Yellow
B0270,51.34,42.21,83.0,100.0,79.86,65.54,Yellow
B0271,55.89,39.59,83.0,100.0,83.64,66.63,Yellow
B0272,51.4,41.87,83.0,100.0,80.92,65.58,Yellow
B0273,55.64,38.93,83.0,100.0,79.25,65.95,Yellow
B0274,48.38,40.24,83.0,100.0,78.63,64.04,Yellow
B0275,49.28,39.14,83.0,100.0,78.9,64.06,Yellow
B0276,50.32,43.51,83.0,100.0,81.82,65.76,Yellow
B0277,50.11,41.46,83.0,100.0,78.49,64.85,Yellow
B0278,56.45,40.43,83.0,100.0,82.58,66.9,Yellow
B0279,50.47,37.67,83.0,100.0,77.57,63.92,Yellow
B0280,51.38,41.83,83.0,100.0,79.48,65.42,Yellow
B0281,47.6,41.5,83.0,100.0,75.96,63.85,Yellow
B0282,55.45,41.06,83.0,100.0,85.01,67.0,Yellow
B0283,53.66,41.52,83.0,100.0,84.49,66.53,Yellow
B0284,49.06,38.46,83.0,100.0,79.94,63.93,Yellow
B0285,57.79,35.38,83.0,100.0,86.65,66.45,Yellow
B0286,59.06,40.8,83.0,100.0,88.67,68.39,Yellow
B0287,49.82,35.91,83.0,100.0,77.11,63.23,Yellow
B0288,45.17,40.07,83.0,100.0,73.53,62.52,Yellow
B0289,50.9,41.14,83.0,100.0,76.32,64.79,Yellow
B0290,52.19,46.87,83.0,100.0,83.13,67.29,Yellow
B0291,49.44,38.06,83.0,100.0,77.98,63.74,Yellow
B0292,48.69,42.85,83.0,100.0,77.18,64.64,Yellow
B0293,47.94,46.03,83.0,100.0,76.73,65.16,Yellow
B0294,57.66,41.04,83.0,100.0,85.43,67.7,Yellow
B0295,49.65,43.71,83.0,100.0,75.58,64.98,Yellow
B0296,55.14,41.51,83.0,100.0,86.42,67.16,Yellow
B0297,46.22,40.71,83.0,100.0,75.66,63.21,Yellow
B0298,49.3,41.99,83.0,100.0,79.09,64.8,Yellow
B0299,53.88,39.86,83.0,100.0,80.15,65.74,Yellow
B0300,57.0,40.63,83.0,100.0,85.57,67.41,Yellow
B0301,54.09,40.85,83.0,100.0,84.04,66.44,Yellow
B0302,48.9,38.26,83.0,100.0,75.29,63.36,Yellow
B0303,48.33,38.16,83.0,100.0,79.65,63.6,Yellow
B0304,46.84,39.32,83.0,100.0,75.09,62.99,Yellow
B0305,51.71,43.19,83.0,100.0,80.15,65.93,Yellow
B0306,47.63,41.14,83.0,100.0,77.83,63.96,Yellow
B0307,56.68,41.9,83.0,100.0,86.49,67.73,Yellow
B0308,52.55,39.11,83.0,100.0,79.81,65.12,Yellow
B0309,51.28,41.05,83.0,100.0,80.35,65.28,Yellow
B0310,55.39,40.19,83.0,100.0,81.92,66.46,Yellow
B0311,51.36,45.87,83.0,100.0,79.84,66.46,Yellow
B0312,49.33,39.61,83.0,100.0,80.18,64.32,Yellow
B0313,43.56,39.88,83.0,100.0,71.75,61.81,Yellow
B0314,53.09,42.88,83.0,100.0,84.46,66.69,Yellow
B0315,54.83,41.36,83.0,100.0,81.71,66.56,Yellow
B0316,61.61,41.5,83.0,100.0,87.14,69.17,Yellow
B0317,55.46,43.06,83.0,100.0,86.84,67.69,Yellow
B0318,50.64,39.16,83.0,100.0,81.49,64.73,Yellow
B0319,55.9,41.9,83.0,100.0,86.71,67.52,Yellow
B0320,52.84,42.53,83.0,100.0,80.6,66.14,Yellow
B0321,47.84,40.92,83.0,100.0,75.83,63.76,Yellow
B0322,56.86,44.35,83.0,100.0,86.46,68.39,Yellow
B0323,48.65,46.06,83.0,100.0,78.26,65.54,Yellow
B0324,54.8,40.27,83.0,100.0,81.46,66.25,Yellow
B0325,53.35,42.69,83.0,100.0,82.31,66.51,Yellow
B0326,55.12,41.73,83.0,100.0,76.96,66.26,Yellow
B0327,46.04,43.13,83.0,100.0,72.31,63.43,Yellow
B0328,54.05,44.22,83.0,100.0,82.57,67.13,Yellow
B0329,50.6,42.99,83.0,100.0,83.43,65.87,Yellow
B0330,47.71,39.64,83.0,100.0,79.48,63.77,Yellow
B0331,53.11,39.23,83.0,100.0,83.65,65.71,Yellow
B0332,49.96,40.47,83.0,100.0,77.75,64.48,Yellow
B0333,64.59,42.22,83.0,100.0,90.88,70.62,Yellow
B0334,57.41,40.17,83.0,100.0,82.29,67.09,Yellow
B0335,59.33,39.71,83.0,100.0,85.94,67.92,Yellow
B0336,53.12,41.86,83.0,100.0,79.11,65.91,Yellow
B0337,60.25,44.34,83.0,100.0,86.27,69.39,Yellow
B0338,55.82,41.46,83.0,100.0,84.01,67.11,Yellow
B0339,47.06,40.54,83.0,100.0,72.88,63.14,Yellow
B0340,54.83,43.47,83.0,100.0,83.47,67.26,Yellow
B0341,50.81,44.8,83.0,100.0,83.28,66.37,Yellow
B0342,49.24,41.47,83.0,100.0,78.5,64.59,Yellow
B0343,51.17,43.94,83.0,100.0,82.94,66.23,Yellow
B0344,56.89,45.02,83.0,100.0,82.36,68.16,Yellow
B0345,49.64,41.28,83.0,100.0,81.52,64.96,Yellow
B0346,51.89,38.93,83.0,100.0,81.2,65.02,Yellow
B0347,56.21,40.27,83.0,100.0,84.78,67.01,Yellow
B0348,47.01,41.66,83.0,100.0,77.41,63.86,Yellow
B0349,55.52,45.37,83.0,100.0,84.02,68.0,Yellow
B0350,51.66,45.69,83.0,100.0,79.79,66.5,Yellow
B0351,49.32,38.77,83.0,100.0,81.27,64.22,Yellow
B0352,50.97,39.83,83.0,100.0,81.09,64.96,Yellow
B0353,61.79,39.97,83.0,100.0,87.01,68.83,Yellow
B0354,54.1,42.84,83.0,100.0,82.94,66.83,Yellow
B0355,62.17,39.36,83.0,100.0,88.2,68.91,Yellow
B0356,49.21,44.81,83.0,100.0,76.02,65.17,Yellow
B0357,48.83,42.09,83.0,100.0,79.61,64.73,Yellow
B0358,46.59,41.95,83.0,100.0,77.01,63.77,Yellow
B0359,59.32,42.01,83.0,100.0,87.74,68.67,Yellow
B0360,52.54,43.76,83.0,100.0,78.82,66.18,Yellow
B0361,51.67,38.22,83.0,100.0,77.48,64.4,Yellow
B0362,55.05,40.53,83.0,100.0,84.88,66.74,Yellow
B0363,54.83,40.29,83.0,100.0,81.22,66.24,Yellow
B0364,56.86,42.09,83.0,100.0,86.85,67.87,Yellow
B0365,49.16,41.43,83.0,100.0,80.91,64.8,Yellow
B0366,49.19,40.3,83.0,100.0,78.17,64.25,Yellow
B0367,50.82,41.2,83.0,100.0,79.01,65.05,Yellow
B0368,55.03,45.56,83.0,100.0,82.99,67.8,Yellow
B0369,57.93,43.76,83.0,100.0,88.67,68.79,Yellow
B0370,47.56,40.6,83.0,100.0,76.77,63.7,Yellow
B0371,54.18,39.74,83.0,100.0,83.83,66.17,Yellow
B0372,55.97,41.48,83.0,100.0,87.32,67.49,Yellow
B0373,49.12,39.34,83.0,100.0,80.21,64.19,Yellow
B0374,48.9,38.52,83.0,100.0,78.18,63.72,Yellow
B0375,54.96,41.73,83.0,100.0,78.91,66.41,Yellow
B0376,56.99,41.9,83.0,100.0,83.39,67.51,Yellow
B0377,58.01,39.88,83.0,100.0,85.64,67.54,Yellow
B0378,51.52,41.69,83.0,100.0,82.73,65.75,Yellow
B0379,55.67,42.32,83.0,100.0,85.35,67.42,Yellow
B0380,49.36,43.44,83.0,100.0,80.24,65.29,Yellow
B0381,48.73,43.56,83.0,100.0,78.01,64.91,Yellow
B0382,54.36,41.49,83.0,100.0,82.13,66.49,Yellow
B0383,53.5,41.28,83.0,100.0,82.02,66.17,Yellow
B0384,55.9,42.0,83.0,100.0,81.48,67.02,Yellow
B0385,58.58,44.37,83.0,100.0,85.6,68.83,Yellow
B0386,53.58,41.6,83.0,100.0,84.01,66.47,Yellow
B0387,51.99,42.95,83.0,100.0,82.05,66.14,Yellow
B0388,52.87,41.72,83.0,100.0,79.32,65.82,Yellow
B0389,62.48,38.67,83.0,100.0,88.25,68.84,Yellow
B0390,54.7,41.67,83.0,100.0,84.59,66.89,Yellow
B0391,49.83,43.23,83.0,100.0,79.91,65.35,Yellow
B0392,56.68,43.2,83.0,100.0,86.82,68.09,Yellow
B0393,53.21,43.3,83.0,100.0,83.6,66.75,Yellow
B0394,55.96,46.07,83.0,100.0,87.69,68.67,Yellow
B0395,50.4,41.94,83.0,100.0,76.78,64.88,Yellow
B0396,53.36,44.94,83.0,100.0,78.58,66.7,Yellow
B0397,51.1,40.39,83.0,100.0,78.73,64.9,Yellow
B0398,48.94,41.69,83.0,100.0,80.25,64.73,Yellow
B0399,52.15,41.81,83.0,100.0,85.25,66.22,Yellow
B0400,58.21,43.89,83.0,100.0,87.1,68.75,Yellow
B0401,19.35,14.11,67.0,45.49,32.9,32.85,Orange
B0402,18.13,14.78,67.0,44.72,30.16,32.26,Orange
B0403,17.85,16.62,67.0,50.93,25.91,33.14,Orange
B0404,19.79,14.62,67.0,45.28,30.99,32.88,Orange
B0405,18.7,14.43,67.0,46.66,31.2,32.74,Orange
B0406,18.92,15.18,67.0,45.61,29.37,32.65,Orange
B0407,20.35,14.62,67.0,45.84,32.11,33.25,Orange
B0408,18.51,14.9,67.0,46.76,30.1,32.7,Orange
B0409,18.04,14.46,67.0,46.51,29.46,32.35,Orange
B0410,18.28,15.01,67.0,50.17,28.46,33.01,Orange
B0411,17.69,13.96,67.0,43.27,26.78,31.37,Orange
B0412,18.29,14.93,67.0,46.69,30.38,32.66,Orange
B0413,18.14,13.67,67.0,46.16,26.86,31.87,Orange
B0414,16.86,14.73,67.0,45.07,25.74,31.48,Orange
B0415,18.14,16.01,67.0,49.51,27.76,33.05,Orange
B0416,18.6,14.72,67.0,48.36,28.5,32.76,Orange
B0417,18.16,13.9,67.0,43.96,29.14,31.83,Orange
B0418,20.72,14.47,67.0,48.3,35.81,34.06,Orange
B0419,19.05,14.87,67.0,46.07,32.5,32.99,Orange
B0420,18.23,14.47,67.0,47.99,29.36,32.62,Orange
B0421,19.36,14.39,67.0,48.64,32.76,33.38,Orange
