borrower_id,borrower_type,loan_amount,emi_amount,avg_monthly_income,month1_balance,month1_income,month1_paid,month2_balance,month2_income,month2_paid,month3_balance,month3_income,month3_paid,month4_balance,month4_income,month4_paid,month5_balance,month5_income,month5_paid,month6_balance,month6_income,month6_paid,defaulted,actual_default_late_period,predicted_default,default_probability,pilot_health_score,pilot_risk_bucket,prediction_result
B0021,farmer,187586,7662.46,63107,34530.56,66007.36,True,34669.53,65862.15,True,34875.64,67120.65,True,35899.01,69352.54,True,36295.1,67390.36,True,36936.62,67033.7,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0022,small_trader,71160,3400.48,66784,58567.86,67218.31,True,60930.98,69041.55,True,62912.49,69634.16,True,64490.58,71324.33,True,63087.57,72790.52,True,67158.39,74000.99,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0023,gig_worker,119084,5615.8,33135,20023.44,34539.07,True,19621.65,35020.15,True,21111.1,33904.39,True,20505.32,34714.5,True,22128.57,33776.78,True,21132.38,33466.35,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0024,farmer,196258,6922.43,27689,23459.87,28110.6,True,22739.14,28515.17,True,21368.05,29136.5,True,22167.72,29957.89,True,20270.32,30900.65,True,21179.12,31431.57,True,False,False,False,0.0023,99.77,Green,Correctly Cleared
B0025,salaried,145905,5578.98,49833,27230.93,50115.71,True,29126.88,50787.18,True,27813.12,52511.03,True,29483.29,54631.84,True,30246.82,57949.5,True,31651.61,57954.92,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0026,small_trader,177807,6146.69,20213,11193.46,20200.9,True,11211.2,20143.3,True,10117.84,19667.83,True,9756.36,18846.37,True,9920.6,18614.94,True,9565.35,18898.72,True,False,False,False,0.0061,99.39,Green,Correctly Cleared
B0027,gig_worker,33772,1454.75,31555,19430.66,31203.58,True,19722.69,31467.9,True,20493.43,32823.15,True,21970.02,31924.64,True,22318.32,32642.74,True,22889.06,31977.33,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0028,farmer,64555,3094.13,68261,45793.32,68195.84,True,43933.71,68873.08,True,49669.9,66835.47,True,48439.86,66371.93,True,53798.86,66490.91,True,52765.82,66648.39,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0029,small_trader,126062,4231.78,75619,38383.94,76628.24,True,37236.03,75862.76,True,36128.45,74840.41,True,37698.17,72949.49,True,37280.79,72371.74,True,36102.08,71397.61,True,False,False,False,0.0002,99.98,Green,Correctly Cleared
B0030,gig_worker,78259,2616.04,12761,6549.89,12892.46,True,6549.98,12866.15,True,6695.69,12652.19,True,6464.25,12347.02,True,6246.18,11967.77,True,6467.26,11824.18,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0031,salaried,192088,8672.65,75945,59689.56,75229.47,True,47619.77,69129.33,True,47156.36,61059.8,True,23990.75,52335.17,False,3243.73,27751.9,False,16871.85,40730.57,False,True,True,True,0.9989,0.11,Red,Correctly Predicted Default
B0032,small_trader,194598,7253.55,41583,27068.2,42918.14,True,27318.15,42400.91,True,25490.43,42267.39,True,26313.68,41353.94,True,24702.53,40781.02,True,24908.04,39815.32,True,False,False,False,0.0004,99.96,Green,Correctly Cleared
B0033,gig_worker,196396,7676.81,73453,60181.98,71349.07,True,63456.58,70533.61,True,63824.98,68748.33,True,67703.26,66562.31,True,66828.55,67153.52,True,68631.62,64442.6,True,False,False,False,0.0003,99.97,Green,Correctly Cleared
B0034,gig_worker,111489,5324.4,79200,53099.05,76037.96,True,53112.9,78456.72,True,53263.34,77565.57,True,51649.71,79979.55,True,52577.71,82734.94,True,55897.9,84573.74,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0035,gig_worker,195248,8718.7,12414,7006.64,12827.72,True,7053.4,13107.47,True,6528.31,12651.98,True,6574.17,12192.37,True,6197.33,12413.09,True,5901.03,12506.87,True,False,False,False,0.0047,99.53,Green,Correctly Cleared
B0036,farmer,142915,5457.14,24059,18751.45,23916.46,True,19154.96,24231.86,True,18668.23,24795.69,True,19594.5,25453.71,True,19866.18,25350.87,True,20779.7,25720.41,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0037,small_trader,198213,8046.79,48209,35661.0,50568.06,True,35702.39,51382.7,True,35579.03,53206.38,True,35350.79,53337.24,True,38001.78,54781.9,True,36533.28,55814.37,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0038,farmer,171929,8167.9,36393,18488.97,36772.08,True,19468.14,37311.43,True,10684.08,32900.43,True,6766.77,14851.55,False,924.11,16342.21,False,4461.57,11431.05,True,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0039,farmer,144011,6940.54,74567,43290.73,72315.31,True,40630.88,70191.44,True,39562.53,70600.13,True,37734.44,70005.09,True,38255.3,68195.94,True,34974.16,67993.45,True,False,False,False,0.004,99.6,Green,Correctly Cleared
B0040,salaried,147116,6440.74,28234,23429.5,28752.35,True,25296.39,27971.99,True,25455.96,27884.71,True,25667.74,27002.4,True,26685.12,26929.85,True,27937.21,25901.63,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0041,farmer,190160,6344.73,74793,67313.94,78349.04,True,62604.05,78064.42,True,62327.29,81522.19,True,64318.49,84001.84,True,56591.2,84511.24,True,56590.95,88412.0,True,False,False,False,0.0021,99.79,Green,Correctly Cleared
B0042,salaried,42642,2058.08,58867,29400.79,62906.89,True,25234.86,56584.8,True,17927.36,39678.71,True,13070.03,27096.17,False,1583.71,51756.3,False,4821.02,34026.45,True,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0043,small_trader,39960,1218.89,15910,11226.64,16403.79,True,11751.78,16934.07,True,11825.07,16809.52,True,11997.58,17347.74,True,11891.32,18194.11,True,12737.23,18684.81,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0044,salaried,123920,4216.1,48741,35524.73,51144.68,True,34975.14,53415.3,True,37271.82,53614.82,True,39224.65,55557.41,True,37635.42,55953.88,True,38532.71,57665.16,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0045,salaried,192124,7939.7,37655,29663.43,37603.68,True,29947.26,38186.58,True,32068.01,37456.64,True,32290.83,38603.08,True,31387.74,39054.34,True,33355.49,39062.17,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0046,gig_worker,29346,1045.85,32756,16094.08,33429.82,True,13064.5,37510.97,True,8838.81,30327.01,True,5105.8,20095.01,True,926.53,9768.57,False,3141.75,15322.3,False,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0047,farmer,86464,3039.97,18411,11477.89,18784.92,True,11671.99,18726.82,True,11361.91,18487.29,True,10704.37,18797.73,True,10511.57,18630.88,True,10446.98,18549.08,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0048,salaried,50581,1521.19,33105,26255.16,33137.19,True,25879.86,33210.43,True,24474.45,32997.26,True,23448.34,32396.57,True,22714.53,33693.67,True,22578.0,33600.71,True,False,False,False,0.0007,99.93,Green,Correctly Cleared
B0049,farmer,85783,3030.28,51039,39742.04,53394.45,True,38359.0,53083.84,True,40528.21,51959.42,True,39182.2,54001.25,True,38983.25,51601.3,True,38410.16,52007.49,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0050,farmer,98919,4226.25,15410,13108.78,15319.92,True,12243.2,15664.76,True,11890.21,16551.57,True,12458.9,16978.91,True,11969.7,17621.98,True,11904.78,18131.06,True,False,False,False,0.0038,99.62,Green,Correctly Cleared
B0051,salaried,181711,8624.93,77212,46552.51,78579.47,True,44082.48,79981.23,True,42527.59,80095.53,True,42342.32,78354.82,True,38504.25,81920.31,True,37904.58,83040.58,True,False,False,False,0.0012,99.88,Green,Correctly Cleared
B0052,salaried,172182,5242.16,57410,43910.12,56976.51,True,43485.4,56293.69,True,46800.18,56609.12,True,45698.22,57128.92,True,43628.06,57093.21,True,47212.7,56566.13,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0053,salaried,72085,2317.95,17705,13560.29,16859.59,True,13441.56,17242.23,True,13619.25,17268.4,True,14102.0,17256.73,True,13830.49,17318.1,True,13784.49,17419.9,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0054,salaried,65781,3031.53,35370,20698.12,35705.42,True,21413.68,35992.63,True,19478.12,35408.44,True,20076.05,35617.93,True,19073.68,34665.97,True,18686.19,35726.8,True,False,False,False,0.0008,99.92,Green,Correctly Cleared
B0055,salaried,185050,6299.41,31259,17673.3,30925.06,True,18246.74,30598.28,True,17402.91,30684.23,True,17547.36,31468.44,True,19374.86,31094.24,True,19570.86,31430.05,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0056,salaried,81694,3546.74,25106,19867.56,24214.82,True,20341.52,25196.08,True,21059.49,25320.74,True,21181.27,25756.95,True,22047.46,27159.46,True,22882.63,27145.82,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0057,farmer,31300,1204.14,58945,42979.21,56623.11,True,42678.47,55147.69,True,44870.41,54647.2,True,45489.31,56207.67,True,48275.68,54901.75,True,45974.34,54919.66,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0058,farmer,51722,1943.34,48159,25357.35,47077.57,True,24089.71,48065.97,True,24366.36,46081.62,True,23223.66,46409.46,True,23566.21,45663.06,True,24472.46,46112.98,True,False,False,False,0.0003,99.97,Green,Correctly Cleared
B0059,small_trader,79385,3779.4,41826,23071.96,43807.63,True,23272.8,42278.18,True,23643.56,42143.12,True,22927.07,40241.62,True,22891.88,40052.84,True,23069.24,39534.62,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0060,gig_worker,167723,6429.13,71350,45927.01,69373.25,True,45156.64,67883.13,True,46510.68,70704.2,True,44358.29,68014.05,True,47036.55,67050.28,True,47275.46,66349.79,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0061,gig_worker,174714,7769.81,11809,9484.32,12115.0,True,7759.47,13133.24,True,4627.2,10390.16,True,2950.95,9619.57,False,533.9,4378.71,True,1353.87,6241.23,False,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0062,farmer,191026,7330.66,33102,16701.63,31625.43,True,17584.64,31980.73,True,17385.0,32430.17,True,18215.79,32270.39,True,18948.48,32719.98,True,19760.26,33363.69,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0063,salaried,192429,7786.29,14805,8538.31,14168.56,True,8079.63,13549.95,True,8287.97,13528.77,True,7607.33,13383.08,True,7241.18,13517.01,True,7209.97,12863.48,True,False,False,False,0.001,99.9,Green,Correctly Cleared
B0064,salaried,170786,6668.42,9652,6503.0,9338.86,True,5017.47,8292.92,True,4541.28,3650.38,True,1456.5,7862.1,False,233.3,5289.88,False,1091.19,3319.76,True,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0065,small_trader,92208,3308.96,11060,5657.27,11766.89,True,4905.54,9452.89,True,3502.18,8231.28,True,1903.87,6090.22,False,171.59,5390.89,False,1307.3,4638.66,True,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0066,gig_worker,11919,387.65,41298,26422.48,41347.63,True,25897.96,43092.91,True,27382.24,44339.23,True,26715.23,48369.14,True,27795.11,47962.38,True,27563.48,49520.93,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0067,farmer,178461,8325.86,32578,16834.09,32421.77,True,17568.73,33545.44,True,16648.49,33687.09,True,17329.77,34425.09,True,18211.54,35269.02,True,18809.98,35908.86,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0068,farmer,18798,883.05,40747,28016.58,38749.18,True,29514.14,37266.53,True,28829.81,38265.84,True,28896.12,37265.17,True,29886.84,37362.83,True,29437.4,36502.24,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0069,gig_worker,105365,3615.37,20391,15669.36,21065.31,True,15811.07,20930.51,True,15298.9,20420.61,True,15540.5,20448.16,True,16440.32,20146.58,True,15683.62,19869.46,True,False,False,False,0.0007,99.93,Green,Correctly Cleared
B0070,gig_worker,49807,1641.19,58355,44854.95,55950.81,True,44352.33,57048.93,True,49020.56,57793.69,True,48745.69,60935.88,True,51054.96,64116.5,True,52584.49,65353.92,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0071,salaried,48057,1981.85,23025,15616.79,22658.63,True,14201.65,22884.04,True,15287.16,24017.69,True,15193.24,24545.22,True,13355.96,25339.3,True,13660.2,25728.58,True,False,False,False,0.0005,99.95,Green,Correctly Cleared
B0072,salaried,15608,684.83,63547,37105.25,67236.86,True,29612.6,57293.86,True,26134.82,52257.61,True,7132.7,55668.69,True,1820.48,31326.15,False,6236.54,33156.59,False,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0073,farmer,39764,1653.81,46501,28203.26,48488.93,True,28787.1,49032.35,True,28237.16,49323.43,True,29514.9,49416.67,True,29881.7,50964.58,True,30277.81,50306.54,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0074,small_trader,142773,5334.24,74483,41467.27,76048.71,True,38234.92,77611.11,True,39009.46,75679.81,True,37459.8,76829.47,True,37482.01,77147.34,True,35583.67,76746.06,True,False,False,False,0.0003,99.97,Green,Correctly Cleared
B0075,gig_worker,53271,2470.82,44534,34899.0,42804.27,True,36161.2,43997.27,True,35670.35,44754.4,True,37764.24,47378.94,True,37398.28,48410.1,True,38274.89,49307.5,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0076,farmer,146666,5909.25,62698,41541.49,62805.53,True,42426.81,63604.6,True,40058.46,63823.54,True,38570.37,64097.22,True,37810.97,62789.2,True,38729.85,63496.37,True,False,False,False,0.0002,99.98,Green,Correctly Cleared
B0077,gig_worker,113700,4520.43,76247,48039.77,82428.59,True,40352.86,83214.98,True,23957.46,71907.94,True,22038.64,56707.15,False,2983.78,42092.25,True,11571.37,27691.67,False,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0078,farmer,128943,4881.66,12300,7083.28,12569.59,True,7438.12,12790.93,True,7061.36,12992.55,True,7482.38,12830.28,True,7291.58,13537.68,True,7329.02,13518.57,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0079,gig_worker,145748,4463.86,57684,30145.59,59033.35,True,30090.19,57768.54,True,30271.95,60563.86,True,30716.13,57844.96,True,29168.0,59953.64,True,30098.27,60409.66,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0080,salaried,58581,2504.84,28754,18302.53,28275.28,True,18337.97,28069.47,True,17483.75,26993.82,True,17464.66,27899.07,True,15922.34,27330.82,True,14863.8,27305.19,True,False,False,False,0.0011,99.89,Green,Correctly Cleared
B0081,salaried,153279,4744.9,25256,17474.59,24280.98,True,17447.74,25132.53,True,17611.09,25541.76,True,18087.95,26442.04,True,17265.14,26248.41,True,17309.2,26778.1,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0082,small_trader,93402,3417.42,20823,12249.83,21191.85,True,11195.62,19971.29,True,5417.87,17188.43,True,3330.9,8877.84,False,415.78,5442.03,False,1519.81,7927.64,True,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0083,gig_worker,126770,5105.02,56621,34607.79,58970.13,True,34559.23,59318.39,True,36621.8,59935.25,True,36237.73,60566.63,True,37467.73,60003.56,True,38356.71,61727.51,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0084,farmer,121546,5317.37,64782,49613.75,62700.31,True,48703.1,65660.8,True,47479.54,65863.2,True,47794.22,67795.92,True,45894.76,69845.22,True,44154.37,70826.26,True,False,False,False,0.0004,99.96,Green,Correctly Cleared
B0085,small_trader,29465,1379.51,18652,16537.73,18858.94,True,17219.45,19275.96,True,17583.94,20793.5,True,17272.08,20716.92,True,18675.4,21733.22,True,19198.62,21614.0,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0086,salaried,198511,8994.95,10369,5251.29,10609.33,True,5179.32,10371.77,True,5369.51,10605.46,True,5742.89,10135.45,True,5806.45,10317.33,True,5891.99,10072.71,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0087,gig_worker,97938,3295.29,49552,40233.12,51917.46,True,40114.37,52330.27,True,39705.79,55148.45,True,35822.58,57388.36,True,35949.14,58004.86,True,34989.68,59864.78,True,False,False,False,0.0002,99.98,Green,Correctly Cleared
B0088,farmer,47081,1648.93,58304,39005.81,57281.71,True,38369.25,55733.57,True,39385.82,58257.45,True,39684.2,57472.27,True,42179.69,59046.13,True,40346.02,58362.65,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0089,small_trader,16907,530.68,33009,25261.25,33112.42,True,25608.33,34728.89,True,23474.31,34675.91,True,25606.5,36212.24,True,25326.67,36810.79,True,24346.27,37803.6,True,False,False,False,0.0011,99.89,Green,Correctly Cleared
B0090,small_trader,64607,2281.89,62921,42892.1,61908.8,True,42405.5,61486.77,True,40831.31,60186.83,True,38619.39,58280.46,True,37463.17,58901.27,True,36527.54,57027.38,True,False,False,False,0.0004,99.96,Green,Correctly Cleared
B0091,farmer,199669,6336.95,73464,31837.15,70177.53,True,32456.41,68697.28,True,29725.26,69181.72,True,29731.3,67402.71,True,29242.18,65766.02,True,28182.97,64408.42,True,False,False,False,0.0003,99.97,Green,Correctly Cleared
B0092,farmer,140104,6057.13,73077,63489.34,71597.14,True,62393.17,72253.93,True,69705.51,70616.98,True,65142.48,69672.8,True,67263.71,70311.13,True,68976.42,70802.73,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0093,small_trader,169996,5971.13,38104,30479.49,39343.12,True,30781.31,40443.95,True,28860.15,38173.36,True,29219.2,37836.21,True,27889.47,39593.14,True,27826.52,39007.27,True,False,False,False,0.0021,99.79,Green,Correctly Cleared
B0094,farmer,25748,1276.51,19826,15352.33,19066.19,True,12466.65,18664.03,True,8986.14,15812.56,True,4050.22,5489.35,False,971.49,3657.54,False,2055.16,7856.99,True,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0095,gig_worker,189776,6787.19,8868,5000.0,8479.26,True,4634.51,8696.55,True,4642.12,9049.46,True,4453.1,9509.14,True,4607.99,9841.43,True,4434.9,10069.67,True,False,False,False,0.0032,99.68,Green,Correctly Cleared
B0096,gig_worker,10824,530.17,74617,47152.58,77851.0,True,46038.36,79324.39,True,45958.93,80496.14,True,44700.25,77225.84,True,46825.34,76948.04,True,44285.11,78546.97,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0097,salaried,73328,2356.64,19881,13649.28,20272.84,True,13916.4,21164.2,True,13730.84,20425.59,True,14250.88,20846.87,True,15465.79,21766.23,True,15422.18,21814.51,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0098,gig_worker,143858,4951.95,9620,6200.29,9529.0,True,6254.84,9512.62,True,6202.24,9104.43,True,5809.68,9638.09,True,5643.58,9638.9,True,5517.42,9540.11,True,False,False,False,0.0004,99.96,Green,Correctly Cleared
B0099,salaried,54420,2533.61,48498,24777.47,47255.69,True,25187.7,47550.19,True,27072.28,45412.64,True,27240.14,44167.18,True,28957.93,44469.82,True,28954.3,44693.12,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0100,farmer,90781,3498.94,35002,31708.47,36732.94,True,32539.65,38583.82,True,32776.98,39759.53,True,31494.76,40715.11,True,32770.32,42700.38,True,33014.91,43600.94,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0101,gig_worker,103332,3960.4,28514,25207.97,29358.37,True,18450.57,20171.58,True,11346.4,21041.59,True,8826.51,15326.65,False,1013.36,13351.6,False,5345.31,14002.49,True,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0102,salaried,41971,1745.97,45958,20840.27,45849.95,True,19988.3,45958.62,True,20774.51,45777.43,True,19249.86,46162.42,True,19427.98,44715.12,True,18962.9,45745.05,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0103,small_trader,153011,4940.74,66215,32998.35,64273.31,True,34085.11,63831.67,True,31439.84,63246.98,True,29602.02,63577.48,True,30214.42,62211.65,True,29274.88,61696.32,True,False,False,False,0.0002,99.98,Green,Correctly Cleared
B0104,small_trader,46365,1513.95,34673,20341.06,35640.61,True,20599.19,34967.78,True,22458.27,36451.31,True,21694.22,35989.21,True,24010.38,34952.22,True,23123.91,34863.29,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0105,farmer,30605,1388.37,21515,14952.05,22272.09,True,14879.51,22368.79,True,15743.55,22989.86,True,15317.44,24010.26,True,16125.63,23892.15,True,16557.7,24615.28,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0106,farmer,135407,6122.81,29395,16237.01,28710.31,True,15532.55,29297.9,True,14725.88,29447.68,True,14378.27,29030.08,True,13953.74,30251.37,True,13216.15,29946.32,True,False,False,False,0.0016,99.84,Green,Correctly Cleared
B0107,salaried,170794,5236.72,17984,12676.33,17120.79,True,12482.75,17041.29,True,12747.43,16981.93,True,13133.39,16428.36,True,12589.45,16983.66,True,12243.99,16707.43,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0108,gig_worker,13212,657.0,9080,5359.29,8728.7,True,5410.94,8893.0,True,5068.29,9254.2,True,5267.86,9522.77,True,5343.19,9640.37,True,5044.17,10024.76,True,False,False,False,0.0013,99.87,Green,Correctly Cleared
B0109,gig_worker,183497,7474.29,35584,22890.24,36157.85,True,22322.04,35828.38,True,25687.96,36673.43,True,24841.26,36813.51,True,26175.94,36472.09,True,26076.3,36982.37,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0110,gig_worker,135076,4264.42,17854,9979.79,17554.18,True,9805.6,17680.58,True,9468.44,16825.43,True,9118.62,16906.3,True,9181.36,16840.62,True,8821.59,16614.73,True,False,False,False,0.0021,99.79,Green,Correctly Cleared
B0111,salaried,49015,2025.06,22974,12985.88,24040.89,True,13794.21,24385.83,True,13447.36,23408.11,True,14660.75,23332.48,True,15184.77,22846.39,True,15533.87,23203.48,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0112,salaried,101310,3998.85,26676,18424.14,27822.91,True,17773.75,28614.83,True,17620.42,27818.69,True,15842.85,27863.66,True,16369.85,28042.35,True,15843.57,27908.04,True,False,False,False,0.0003,99.97,Green,Correctly Cleared
B0113,salaried,90399,3516.55,32111,26270.61,33374.44,True,27955.29,34195.25,True,27474.58,35302.24,True,28103.67,35825.57,True,30026.45,37690.92,True,30879.38,38279.41,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0114,gig_worker,174974,8497.11,72558,43802.93,72778.48,True,42582.13,68396.36,True,28647.85,57101.6,True,13566.73,49287.09,True,2308.99,41111.89,False,7330.79,39238.27,False,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0115,farmer,31173,1502.43,45010,30404.89,45497.07,True,31601.59,45023.86,True,31888.28,44495.67,True,34956.17,44408.38,True,35106.96,44668.85,True,35343.97,43950.16,True,False,False,False,0.0,100.0,Green,Correctly Cleared
